 10991644093750 139      Cache               Final BUSY_BLKD>SC     [0xbcf0b140, line 0xbcf0b140] 
 10991644094250 141      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644095250 141      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644095250 141      Cache         SendSnpData BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644095250 141      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644095500 141      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644095500 141      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644095500 141      Cache               Final BUSY_BLKD>SC_RSC [0xbcf0b140, line 0xbcf0b140] 
 10991644096500 135      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644097500 135      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644097500 135      CacheSendSnpSharedFwdCompData BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644097500 135      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644097750 135      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644097750 135      Cache    SendSnpFwdedResp BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644097750 135      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644097750 135      Cache               Final BUSY_BLKD>RSC    [0xbcf0b140, line 0xbcf0b140] 
 10991644100250  65      Cache      CompData_SD_PD BUSY_INTR>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644100250  65      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644101250  65      Cache      CompData_SD_PD BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
